Location,Job_Listing
Mendocino County,ENVIRONMENTAL SCIENTIST
San Bernardino County,ENVIRONMENTAL SCIENTIST
Riverside County,ENVIRONMENTAL SCIENTIST
Humboldt County,ENVIRONMENTAL SCIENTIST
San Francisco County,FINANCIAL INSTITUTIONS EXAMINER
Sonoma County,FISH AND WILDLIFE SCIENTIFIC AID
San Mateo County,FISH AND WILDLIFE SCIENTIFIC AID
Santa Cruz County,FISH AND WILDLIFE SCIENTIFIC AID
Solano County,FISH AND WILDLIFE SCIENTIFIC AID
Napa County,FISH AND WILDLIFE SCIENTIFIC AID
Marin County,FISH AND WILDLIFE SCIENTIFIC AID
Imperial County,FISH AND WILDLIFE TECHNICIAN
Monterey County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Los Angeles County,FOOD SERVICE TECHNICIAN I
Butte County,FORESTRY LOGISTICS OFFICER I
Shasta County,FORESTRY LOGISTICS OFFICER I
Butte County,FORESTRY TECHNICIAN
Sacramento County,GRAPHIC DESIGNER III
Riverside County,GROUNDSKEEPER
Orange County,HAZARDOUS SUBSTANCES ENGINEER
Sonoma County,HEALTH FACILITIES EVALUATOR MANAGER I
San Joaquin County,HEALTH FACILITIES EVALUATOR MANAGER I
Contra Costa County,HEALTH PROGRAM MANAGER II
Sacramento County,HEALTH PROGRAM MANAGER II
Butte County,HYDROELECTRIC PLANT MECHANICAL SUPERVISOR
Kern County,NATIVE AMERICAN SPIRITUAL LEADER
Sacramento County,OFFICE ASSISTANT (GENERAL)
Napa County,SENIOR PSYCHIATRIST (SPECIALIST)
San Luis Obispo County,STUDENT ASSISTANT
Los Angeles County,"TAX TECHNICIAN III, BOARD OF EQUALIZATION"
Sacramento County,ACCOUNTING ANALYST
Sacramento County,"ADMINISTRATOR II, FRANCHISE TAX BOARD"
Kern County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Sacramento County,AIR POLLUTION SPECIALIST
Sacramento County,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS"
San Diego County,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS"
Alameda County,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS"
Fresno County,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS"
Los Angeles County,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS"
Butte County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
San Luis Obispo County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Orange County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,"ASSOCIATE INVESTMENT MANAGER,PUBLIC EMPLOYEES` RETIREMENT SYSTEM"
Yuba County,ASSOCIATE TRANSPORTATION PLANNER
Los Angeles County,ATTORNEY
Shasta County,BATTALION CHIEF
United States,BUSINESS TAXES REPRESENTATIVE
United States,C. E. A.
Del Norte County,CALTRANS EQUIPMENT OPERATOR II
Madera County,CALTRANS LANDSCAPE MAINTENANCE LEADWORKER
Sacramento County,"CAPTAIN, ADULT INSTITUTION"
Del Norte County,CERTIFIED NURSING ASSISTANT
Kings County,"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
Kern County,"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
Del Norte County,"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
Kings County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Sacramento County,CHILD DEVELOPMENT CONSULTANT
Sacramento County,CLAIM AUDITOR
Los Angeles County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Sacramento County,CORPORATION EXAMINER
Riverside County,CORRECTIONAL CASE RECORDS ANALYST
Riverside County,CORRECTIONAL CASE RECORDS MANAGER
Riverside County,CORRECTIONAL CASE RECORDS SUPERVISOR
Solano County,CORRECTIONAL COUNSELOR I
Madera County,"CORRECTIONAL PLANT SUPERVISOR, DEPT OF CORRECTIONS"
Kings County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Shasta County,CUSTODIAN I
Sacramento County,CUSTODIAN I
Madera County,CUSTODIAN I
San Francisco County,DEPUTY ATTORNEY GENERAL III
Los Angeles County,DEPUTY ATTORNEY GENERAL III
San Diego County,DEPUTY ATTORNEY GENERAL III
Sacramento County,DEPUTY ATTORNEY GENERAL III
San Bernardino County,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
Orange County,EMPLOYMENT PROGRAM REPRESENTATIVE
San Joaquin County,EMPLOYMENT PROGRAM REPRESENTATIVE
San Bernardino County,ENGINEERING GEOLOGIST
Humboldt County,ENVIRONMENTAL SERVICES INTERN
Sacramento County,EXECUTIVE SECRETARY I
San Diego County,FISH AND WILDLIFE SCIENTIFIC AID
Merced County,JUNIOR ENGINEERING TECHNICIAN
San Luis Obispo County,SUPERVISING REGISTERED NURSE (SAFETY)
Sacramento County,"TAX TECHNICIAN II, BOARD OF EQUALIZATION"
Merced County,WATER RESOURCES TECHNICIAN I
Riverside County,ELECTRICIAN II (CORRECTIONAL FACILITY)
Riverside County,PAINTER II (CORRECTIONAL FACILITY)
Riverside County,SUPERVISING CORRECTIONAL COOK DEPT OF CORRECTIONS
Monterey County,CORRECTIONAL COUNSELOR III
Riverside County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Sacramento County,LEGAL ANALYST
Monterey County,MATERIALS AND STORES SUPERVISOR I (CORRECTIONAL FACILITY)
Sacramento County,"PROGRAM MANAGER, PUBLIC UTILITIES COMMISSION"
Sacramento County,RESEARCH DATA SUPERVISOR II
Napa County,ACCOUNTANT I (SPECIALIST)
Sacramento County,ACCOUNTING ADMINISTRATOR I (SPECIALIST)
Sacramento County,ACCOUNTING ADMINISTRATOR II
San Francisco County,ASSOCIATE ADMINISTRATIVE ANALYST ACCOUNTING SYSTEMS
Sacramento County,ASSOCIATE ADMINISTRATIVE ANALYST ACCOUNTING SYSTEMS
Placer County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
San Joaquin County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Fresno County,ASSOCIATE RIGHT OF WAY AGENT
United States,ATTORNEY
Marin County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
Kern County,"BUSINESS TAXES ADMINISTRATOR I, BOARD OF EQUALIZATION"
Kings County,CARPENTER II (CORRECTIONAL FACILITY)
Fresno County,CERTIFIED NURSING ASSISTANT
San Bernardino County,CERTIFIED NURSING ASSISTANT
Los Angeles County,CHIEF ENGINEER II
Kern County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Bernardino County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Fresno County,CLINICAL SOCIAL WORKER (HEALTH FACILITY)
Monterey County,"COMMUNITY RESOURCES MANAGER, DEPARTMENT OF CORRECTIONS"
Los Angeles County,COOK SPECIALIST II
Sacramento County,CORRECTIONAL CASE RECORDS ANALYST
San Joaquin County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR I, CORRECTIONAL FACILITY"
Fresno County,CORRECTIONAL SERGEANT
Monterey County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Humboldt County,CRIMINALIST SUPERVISOR
Los Angeles County,"DENTIST, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Los Angeles County,ELECTRICAL ENGINEER
Kern County,ELECTRICIAN II (CORRECTIONAL FACILITY)
Sacramento County,ELECTRONICS TECHNICIAN
Yolo County,"ENGINEER,CIVIL"
Sacramento County,ENGINEERING GEOLOGIST
Yuba County,ENGINEERING GEOLOGIST
Imperial County,ENVIRONMENTAL SCIENTIST
San Bernardino County,EXECUTIVE SECRETARY I
Sacramento County,FINANCIAL ACCOUNTANT II
United States,FINANCIAL INSTITUTIONS EXAMINER
San Bernardino County,FIRE PREVENTION SPECIALIST I
San Bernardino County,FIRE PREVENTION SPECIALIST II
Sacramento County,INFORMATION TECHNOLOGY TECHNICIAN
Kern County,OFFICE TECHNICIAN (TYPING)
Kern County,PLUMBER II (CORRECTIONAL FACILITY)
Sacramento County,RESEARCH DATA SPECIALIST I
Santa Barbara County,STAFF SERVICES ANALYST
Sacramento County,STAFF SERVICES MANAGEMENT AUDITOR
Solano County,"TAX TECHNICIAN I, BOARD OF EQUALIZATION"
Yolo County,ACCOUNTANT TRAINEE
Los Angeles County,ADMINISTRATIVE LAW JUDGE
Solano County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,ASSOCIATE TELECOMMUNICATIONS ENGINEER
Santa Clara County,ATTORNEY
Los Angeles County,ATTORNEY III
Shasta County,AUTOMOTIVE EQUIPMENT OPERATOR I                        (MAND)
Sacramento County,BATTALION CHIEF
Yolo County,BOOKBINDER IV
United States,BUSINESS TAXES COMPLIANCE SPECIALIST
San Diego County,CALTRANS ELECTRICAL SUPERVISOR
Riverside County,CALTRANS ELECTRICIAN II
Kern County,CALTRANS EQUIPMENT OPERATOR II
Mono County,CALTRANS EQUIPMENT OPERATOR II
Alameda County,CALTRANS HEAVY EQUIPMENT MECHANIC
Kern County,CALTRANS HIGHWAY MAINTENANCE WORKER
Riverside County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Siskiyou County,CALTRANS MAINTENANCE SUPERVISOR
Madera County,CARPENTER III (CORRECTIONAL FACILITY)
Amador County,CERTIFIED NURSING ASSISTANT
San Francisco County,CHIEF ENGINEER II
Humboldt County,CONSERVATIONIST SUPERVISOR
San Diego County,COOK SPECIALIST I
Sacramento County,"CORRECTIONAL ADMINISTRATOR, DEPARTMENT OF CORRECTIONS"
Kern County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR I, CORRECTIONAL FACILITY"
Kern County,"CORRECTIONAL PLANT MANAGER II, DEPT OF CORRECTIONS"
Del Norte County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Kern County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
San Luis Obispo County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Riverside County,CUSTODIAN I
Orange County,CUSTODIAN I
San Joaquin County,CUSTODIAN SUPERVISOR I
Madera County,CUSTODIAN SUPERVISOR II
Riverside County,"DENTAL ASSISTANT, CORRECTIONAL FACILITY"
Orange County,DISASTER ASSISTANCE PROGRAM SPECIALIST I
San Bernardino County,"DISPATCH-CLERK SUPERVISOR, CALTRANS"
Orange County,DRIVER SAFETY HEARING OFFICER
Los Angeles County,DRIVER SAFETY MANAGER I
Alameda County,ENVIRONMENTAL PROGRAM MANAGER I (MANAGERIAL)
Alameda County,ENVIRONMENTAL SCIENTIST
Tehama County,ENVIRONMENTAL SCIENTIST
Sacramento County,SENIOR ENGINEER WATER RESOURCES
Sacramento County,SENIOR SPECIALIST PROPERTY APPRAISER (BOE)
Sacramento County,ACCOUNTING ADMINISTRATOR I (SUPERVISOR)
Yolo County,ACCOUNTING ADMINISTRATOR II
Imperial County,ADMINISTRATIVE ASSISTANT I
Sacramento County,ADMINISTRATIVE ASSISTANT II
Sacramento County,"ADMINISTRATOR I, FRANCHISE TAX BOARD"
Sacramento County,ASSOCIATE BUDGET ANALYST
Alameda County,ASSOCIATE BUSINESS MANAGEMENT ANALYST
Sacramento County,ASSOCIATE CONSTRUCTION ANALYST
Alameda County,ASSOCIATE TRANSPORTATION PLANNER
Alameda County,ATTORNEY III
Tulare County,AUTOMOTIVE TECHNICIAN II
Sacramento County,"BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION"
Riverside County,C. E. A.
Mendocino County,CALTRANS EQUIPMENT OPERATOR II
Humboldt County,CALTRANS HEAVY EQUIPMENT MECHANIC
Inyo County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
San Bernardino County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Riverside County,CALTRANS LANDSCAPE MAINTENANCE LEADWORKER
Monterey County,CERTIFIED NURSING ASSISTANT
Monterey County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Joaquin County,"CLINICAL LABORATORY TECHNOLOGIST, CORRECTIONAL FACILITY"
San Luis Obispo County,COMMUNICATIONS OPERATOR
Nevada County,COOK SPECIALIST II
Sacramento County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR I, CORRECTIONAL FACILITY"
Los Angeles County,CUSTODIAN I
San Mateo County,CUSTODIAN I
Marin County,CUSTODIAN II
Sacramento County,DISASTER ASSISTANCE PROGRAM SPECIALIST I
Alameda County,EMPLOYMENT PROGRAM REPRESENTATIVE
Sacramento County,EMPLOYMENT PROGRAM REPRESENTATIVE
Sacramento County,ENERGY COMMISSION SPECIALIST II (TECH EVALUATION AND DEVELOPMENT)
Humboldt County,ENGINEERING GEOLOGIST
Sacramento County,ENVIRONMENTAL PROGRAM MANAGER II
Sacramento County,FISH AND WILDLIFE SEASONAL AID
Sonoma County,FISH HABITAT ASSISTANT
Mendocino County,FISH HABITAT ASSISTANT
United States,FORESTRY AIDE
Sacramento County,GROUNDSKEEPER
Kings County,HEALTH PROGRAM SPECIALIST I
Monterey County,HEALTH PROGRAM SPECIALIST I
Shasta County,HEAVY FIRE EQUIPMENT OPERATOR
Fresno County,HOSPITAL POLICE LIEUTENANT
Sacramento County,INFORMATION TECHNOLOGY ASSOCIATE
San Diego County,INFORMATION TECHNOLOGY ASSOCIATE
Sacramento County,INFORMATION TECHNOLOGY MANAGER I
Sacramento County,INFORMATION TECHNOLOGY MANAGER II
Tulare County,INFORMATION TECHNOLOGY SPECIALIST I
Sacramento County,STAFF MANAGEMENT AUDITOR (SPECIALIST) STATE CONTROLLER'S OFFICE
Yolo County,SUPERVISING ENGINEER WATER RESOURCES
Los Angeles County,ACCOUNTANT I (SPECIALIST)
Lassen County,ACCOUNTANT TRAINEE
Sacramento County,AGRICULTURAL TECHNICIAN II (SEASONAL)
Sacramento County,"ASSISTANT BUREAU CHIEF, NON-PEACE OFFICER"
Sacramento County,ASSOCIATE HAZARDOUS MATERIALS SPECIALIST
Shasta County,ASSOCIATE PERSONNEL ANALYST
Riverside County,ASSOCIATE PERSONNEL ANALYST
Sonoma County,ASSOCIATE PERSONNEL ANALYST
San Diego County,ASSOCIATE PERSONNEL ANALYST
Orange County,ASSOCIATE PERSONNEL ANALYST
Solano County,ASSOCIATE PERSONNEL ANALYST
Kern County,ASSOCIATE PERSONNEL ANALYST
Fresno County,ASSOCIATE PERSONNEL ANALYST
Los Angeles County,ASSOCIATE PERSONNEL ANALYST
Ventura County,ASSOCIATE PERSONNEL ANALYST
Alameda County,ASSOCIATE PERSONNEL ANALYST
Orange County,ASSOCIATE TRANSPORTATION PLANNER
Fresno County,ATTORNEY
Kern County,ATTORNEY
Orange County,ATTORNEY
Monterey County,ATTORNEY
San Luis Obispo County,ATTORNEY
Amador County,BATTALION CHIEF
San Luis Obispo County,CALTRANS EQUIPMENT OPERATOR II
Los Angeles County,CALTRANS EQUIPMENT OPERATOR II
Santa Barbara County,CALTRANS EQUIPMENT OPERATOR II
Sacramento County,CALTRANS HEAVY EQUIPMENT MECHANIC
Santa Barbara County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Alameda County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Contra Costa County,CALTRANS MAINTENANCE SUPERVISOR
San Bernardino County,CALTRANS MAINTENANCE SUPERVISOR
Kings County,CERTIFIED NURSING ASSISTANT
Madera County,"CHIEF DEPUTY ADMINISTRATOR, CORRECTIONAL PROGRAM, CEA"
Tuolumne County,"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
Sacramento County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Mendocino County,COMMUNICATIONS SUPERVISOR
Solano County,CONSERVATIONIST II
Sacramento County,"ENGINEER, WATER RESOURCES"
Napa County,PSYCHIATRIC TECHNICIAN (SAFETY)
Santa Clara County,"TAX TECHNICIAN III, BOARD OF EQUALIZATION"
United States,"TAX TECHNICIAN III, BOARD OF EQUALIZATION"
Monterey County,ACCOUNTING OFFICER (SPECIALIST)
Sacramento County,ASSISTANT INDUSTRIAL HYGIENIST
Los Angeles County,ASSOCIATE OIL AND GAS ENGINEER
United States,ATTORNEY V
Contra Costa County,AUDITOR I
Los Angeles County,AUTOMOTIVE TECHNICIAN II
Sacramento County,AUTOMOTIVE TECHNICIAN II
Madera County,CERTIFIED NURSING ASSISTANT
Sacramento County,CHIEF ENGINEER I
San Bernardino County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
Solano County,CORRECTIONAL COUNSELOR II (SUPERVISOR)
Tehama County,CUSTODIAN I
Sacramento County,DIGITAL PRINT OPERATOR II
Sacramento County,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
Sacramento County,EDUCATION PROGRAMS CONSULTANT
Sacramento County,ELECTRICAL ENGINEER
Kern County,ELECTRONICS TECHNICIAN  (CORRECTIONAL FACILITY)
Orange County,ENVIRONMENTAL SCIENTIST
Shasta County,ENVIRONMENTAL SCIENTIST
Fresno County,EXECUTIVE SECRETARY I
Yolo County,FINANCIAL ACCOUNTANT II
Sacramento County,FINANCIAL ACCOUNTANT III
Los Angeles County,FINANCIAL INSTITUTIONS EXAMINER
United States,FIRE CAPTAIN
United States,FIRE FIGHTER II (PARAMEDIC)
Yolo County,FISH AND WILDLIFE SCIENTIFIC AID
Humboldt County,FISH AND WILDLIFE SCIENTIFIC AID
